ID,Rating,Votes,Title,author,publisher,pub_year,pages,price,binding,isbn,original_title,translator,subtitle,series,crawl_status,price_num,price_tier
26959623,8.3,3942,假如岁月足够长,[日] 三浦紫苑,北京联合出版公司,2017-3,232,32.00元,平装,9787550297012.0,政と源,周慧,,读客外国小说文库：三浦紫苑,success,32.0,30-40
2063621,7.3,3940,藏书室女尸之谜,[英] 阿加莎·克里斯蒂(Agatha Christie),人民文学出版社,2007-04,218,17.00元,平装,9787020061082.0,The body in the library,任林静,,阿加莎·克里斯蒂侦探推理系列,success,17.0,<20
3111691,8.5,3940,桃花债(下),大風刮過 / 喜喜果(插畫),威向有限公司,2008-2,192,TWD 200,平装,9789862060988.0,桃花债,,,,success,200.0,100-200
4213445,8.0,3939,击壤歌,朱天心,广西师范大学出版社,2010-2,238,24.80元,平装,9787563393343.0,,,,,success,24.8,20-30
5939295,6.7,3939,鸟人计划,[日] 东野圭吾,南海出版公司,2011-6,256,25.00元,平装,9787544253215.0,鳥人計画,星野空,,新经典文库·东野圭吾作品,success,25.0,20-30
10451832,7.8,3937,凰权（上下）,天下归元,江苏文艺出版社,2012-3,768,59.80元,平装,9787539943039.0,,,,凰权,success,59.8,50-70
3931437,7.3,3937,销魂殿,十四郎,华文出版社,2009-8,300,28.00元,平装,9787507527407.0,,,,,success,28.0,20-30
1017841,8.4,3937,老人与海,海明威(美),世界图书出版公司,1989-10,153,8.00,平装,9787506204392.0,,,,,success,8.0,<20
11628196,9.4,3936,冰与火之歌·卷四·群鸦的盛宴（全三册）,乔治·马丁,重庆出版社,2012-9,928,120.00元,盒装,9787229056667.0,,屈畅 / 胡绍晏,,独角兽书系,success,120.0,100-200
1174721,8.4,3936,丧钟为谁而鸣,海明威,上海译文出版社,2004-6,595,28.00元,平装,9787532734290.0,For Whom the Bell Tolls,程中瑞,,海明威文集（2004版）,success,28.0,20-30
2376570,9.3,3935,浪漫的逃亡,阿信,B&#39;IN MUSIC相信音樂國際股份有限公司,2008,248,新台币380元,全彩印刷，烫金封面,9788946655492.0,,,,,success,380.0,>200
10574912,8.9,3933,一个陌生女人的来信,斯蒂芬•茨威格,安徽教育出版社,2012-4-1,261,26.00元,平装,9787533665203.0,,席闯 / 刘欣,,,success,26.0,20-30
5348044,8.0,3933,敦煌,[日]井上靖,北京十月文艺出版社,2010-10,192,20.00元,平装,9787530210505.0,,刘慕沙,,新经典文库·井上靖作品,success,20.0,<20
2356871,7.0,3931,欢喜,冯唐,天津人民出版社,2007-11,228,23.80元,精装,9787201057408.0,,,,,success,23.8,20-30
2121010,8.8,3931,我妈妈,(英)安东尼·布朗,河北教育出版社,2007-4-1,25 页,29.80元,精装,9787543464575.0,My Mom,余治莹,,启发精选国际大师名作绘本,success,29.8,20-30
1044316,8.3,3930,瓦尔登湖,(美)亨利﹒梭罗,吉林人民出版社,1999-06,320,16.80,平装,9787206028045.0,"Walden; or, Life in the Woods",徐迟,,绿色经典文库,success,16.8,<20
